X.SampleID	BarcodeSequence	LinkerPrimerSequence	Study	SourceSink	Env
JAE006.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE007.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE008.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE009.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE010.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE012.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE013.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE014.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE015.A0101	NA	NA	thisStudy	sink	modernCalculus
JAE016.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC001.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC002.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC003.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC004.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC005.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC008.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC009.A0101	NA	NA	thisStudy	sink	modernCalculus
VLC010.A0101	NA	NA	thisStudy	sink	modernCalculus
SRR1761698	NA	NA	ObregonTito2015	source	ruralGut
SRR1761705	NA	NA	ObregonTito2015	source	ruralGut
SRR1761710	NA	NA	ObregonTito2015	source	ruralGut
SRR1761718	NA	NA	ObregonTito2015	source	ruralGut
SRR1761721	NA	NA	ObregonTito2015	source	ruralGut
SRR1929408	NA	NA	Rampelli2015	source	ruralGut
SRR1930121	NA	NA	Rampelli2015	source	ruralGut
SRR1930123	NA	NA	Rampelli2015	source	ruralGut
SRR1930141	NA	NA	Rampelli2015	source	ruralGut
SRR1930145	NA	NA	Rampelli2015	source	ruralGut
ERR1883418	NA	NA	Slon2017	source	sediment
ERR1883419	NA	NA	Slon2017	source	sediment
ERR1883420	NA	NA	Slon2017	source	sediment
ERR1883421	NA	NA	Slon2017	source	sediment
ERR1883422	NA	NA	Slon2017	source	sediment
ERR1883423	NA	NA	Slon2017	source	sediment
ERR1883424	NA	NA	Slon2017	source	sediment
ERR1883430	NA	NA	Slon2017	source	sediment
ERR1883436	NA	NA	Slon2017	source	sediment
ERR1883438	NA	NA	Slon2017	source	sediment
SRR1631060	NA	NA	Oh2016	source	skin
SRR1631061	NA	NA	Oh2016	source	skin
SRR1631063	NA	NA	Oh2016	source	skin
SRR1631064	NA	NA	Oh2016	source	skin
SRR1633008	NA	NA	Oh2016	source	skin
SRR3184100	NA	NA	Oh2016	source	skin
SRR3184876	NA	NA	Oh2016	source	skin
SRR3189411	NA	NA	Oh2016	source	skin
SRR3189416	NA	NA	Oh2016	source	skin
SRR3189418	NA	NA	Oh2016	source	skin
SRR061294	NA	NA	HMP2012	source	subPlaque
SRR062298	NA	NA	HMP2012	source	subPlaque
SRR062299	NA	NA	HMP2012	source	subPlaque
SRR513165	NA	NA	HMP2012	source	subPlaque
SRR513449	NA	NA	HMP2012	source	subPlaque
SRR513768	NA	NA	HMP2012	source	subPlaque
SRR513775	NA	NA	HMP2012	source	subPlaque
SRR514202	NA	NA	HMP2012	source	subPlaque
SRR514239	NA	NA	HMP2012	source	subPlaque
SRR514329	NA	NA	HMP2012	source	subPlaque
SRR061192	NA	NA	HMP2012	source	supPlaque
SRR061320	NA	NA	HMP2012	source	supPlaque
SRR061365	NA	NA	HMP2012	source	supPlaque
SRR061562	NA	NA	HMP2012	source	supPlaque
SRR062083	NA	NA	HMP2012	source	supPlaque
SRR063517	NA	NA	HMP2012	source	supPlaque
SRR1804664	NA	NA	HMP2012	source	supPlaque
SRR1804823	NA	NA	HMP2012	source	supPlaque
SRR512767	NA	NA	HMP2012	source	supPlaque
SRR513828	NA	NA	HMP2012	source	supPlaque
SRR059389	NA	NA	HMP2012	source	urbanGut
SRR059454	NA	NA	HMP2012	source	urbanGut
SRR059455	NA	NA	HMP2012	source	urbanGut
SRR059917	NA	NA	HMP2012	source	urbanGut
SRR060358	NA	NA	HMP2012	source	urbanGut
SRR1761677	NA	NA	Sankaranarayanan2015	source	urbanGut
SRR1761682	NA	NA	Sankaranarayanan2015	source	urbanGut
SRR1761688	NA	NA	Sankaranarayanan2015	source	urbanGut
SRR1761692	NA	NA	Sankaranarayanan2015	source	urbanGut
SRR1761697	NA	NA	Sankaranarayanan2015	source	urbanGut
ARS001.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS004.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS005.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS006.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS010.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS011.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS012.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS013.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS015.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ARS017.A0101.SG1.2	NA	NA	Kovsgol	source	boneARS
ELR003.A0101	NA	NA	Iberian	source	calculus
ELR004.A0101	NA	NA	Iberian	source	calculus
ELR006.A0101	NA	NA	Iberian	source	calculus
ELR008.A0101	NA	NA	Iberian	source	calculus
ELR010.A0101	NA	NA	Iberian	source	calculus
IVE002.B0101	NA	NA	Iberian	source	calculus
IVE003.A0101	NA	NA	Iberian	source	calculus
IVE005.A0101	NA	NA	Iberian	source	calculus
IVE005.B0101	NA	NA	Iberian	source	calculus
IVE007.B0101	NA	NA	Iberian	source	calculus
MID022.A0101	NA	NA	Middenbeemster	source	calculus
MID023.A0101	NA	NA	Middenbeemster	source	calculus
MID024.A0101	NA	NA	Middenbeemster	source	calculus
MID026.A0101	NA	NA	Middenbeemster	source	calculus
MID027.A0101	NA	NA	Middenbeemster	source	calculus
MID028.A0101	NA	NA	Middenbeemster	source	calculus
MID029.A0101	NA	NA	Middenbeemster	source	calculus
MID030.A0101	NA	NA	Middenbeemster	source	calculus
MID031.A0101	NA	NA	Middenbeemster	source	calculus
MID032.A0101	NA	NA	Middenbeemster	source	calculus
MID034.A0101	NA	NA	Middenbeemster	source	calculus
MID035.A0101	NA	NA	Middenbeemster	source	calculus
MID036.A0101	NA	NA	Middenbeemster	source	calculus
MID037.A0101	NA	NA	Middenbeemster	source	calculus
MID038.A0101	NA	NA	Middenbeemster	source	calculus
MID039.A0101	NA	NA	Middenbeemster	source	calculus
MID040.A0101	NA	NA	Middenbeemster	source	calculus
MID041.A0101	NA	NA	Middenbeemster	source	calculus
MID042.A0101	NA	NA	Middenbeemster	source	calculus
MID043.A0101	NA	NA	Middenbeemster	source	calculus
MID044.A0101	NA	NA	Middenbeemster	source	calculus
MID045.A0101	NA	NA	Middenbeemster	source	calculus
MID046.A0101	NA	NA	Middenbeemster	source	calculus
MID047.A0101	NA	NA	Middenbeemster	source	calculus
MID048.A0101	NA	NA	Middenbeemster	source	calculus
MID049.A0101	NA	NA	Middenbeemster	source	calculus
MID050.A0101	NA	NA	Middenbeemster	source	calculus
MID051.A0101	NA	NA	Middenbeemster	source	calculus
MID053.A0101	NA	NA	Middenbeemster	source	calculus
MID054.A0101	NA	NA	Middenbeemster	source	calculus
MID055.A0101	NA	NA	Middenbeemster	source	calculus
MID057.A0101	NA	NA	Middenbeemster	source	calculus
MID058.A0101	NA	NA	Middenbeemster	source	calculus
MID059.A0101	NA	NA	Middenbeemster	source	calculus
MID060.A0101	NA	NA	Middenbeemster	source	calculus
MID061.A0101	NA	NA	Middenbeemster	source	calculus
MID062.A0101	NA	NA	Middenbeemster	source	calculus
MID063.A0101	NA	NA	Middenbeemster	source	calculus
MID064.A0101	NA	NA	Middenbeemster	source	calculus
MID066.A0101	NA	NA	Middenbeemster	source	calculus
MID067.A0101	NA	NA	Middenbeemster	source	calculus
MID068.B0101	NA	NA	Middenbeemster	source	calculus
MID070.A0101	NA	NA	Middenbeemster	source	calculus
MID071.A0101	NA	NA	Middenbeemster	source	calculus
MID072.A0101	NA	NA	Middenbeemster	source	calculus
MID073.A0101	NA	NA	Middenbeemster	source	calculus
MID074.A0101	NA	NA	Middenbeemster	source	calculus
MID075.A0101	NA	NA	Middenbeemster	source	calculus
MID077.A0101	NA	NA	Middenbeemster	source	calculus
MID079.A0101	NA	NA	Middenbeemster	source	calculus
MID080.A0101	NA	NA	Middenbeemster	source	calculus
MID081.A0101	NA	NA	Middenbeemster	source	calculus
MID082.A0101	NA	NA	Middenbeemster	source	calculus
MID083.A0101	NA	NA	Middenbeemster	source	calculus
MID084.A0101	NA	NA	Middenbeemster	source	calculus
MID085.A0101	NA	NA	Middenbeemster	source	calculus
MID086.A0101	NA	NA	Middenbeemster	source	calculus
